field,average_adjacent,stdev_adjacent,sensor,date,sensor_full_name,depth_1,depth_2,depth_3,depth_4,depth_5,precip.cm,tair.C,rh.pct,wind_sp.m_per_s,irradiance.w_per_m.2,year,sand_1,sand_2,sand_3,sand_4,sand_5,silt_1,silt_2,silt_3,silt_4,silt_5,clay_1,clay_2,clay_3,clay_4,clay_5
AES,0.18895114792717826,0.005697347051128486,2,2014-05-14, A2-C,0.28839327349455945,0.29065621279767745,0.25361516379001026,0.3335551052628523,0.3152781630337941,0,17.91666667,45.95833333,1.420833333,320.5833333,2014,13.037486059510032,19.3836758273507,11.2229213618603,13.9765805450235,18.7943014479436,61.8702846045774,55.6573409259707,62.9225674014875,61.1467017992025,60.2283282893348,25.092229335912567,24.9589832466786,25.8545112366523,24.876717655774,20.9773702627216
AES,0.18128055665228102,0.004075703503663788,1,2014-05-14, A1-C,0.3701076056214324,0.32068251385881175,0.3126728292604056,NA,NA,0,17.91666667,45.95833333,1.420833333,320.5833333,2014,13.596915430126899,14.5304209206635,15.0789597123051,16.1204482281178,14.83192113492,57.41014089906983,54.141284529799,51.3194697798878,55.243801638482,63.0400032037282,28.992943670803268,31.3282945495374,33.6015705078071,28.6357501334002,22.1280756613518
AES,0.18904309471448263,0.01199009566676093,11,2014-05-14, A11-C,0.34319943662905544,0.3448661910121941,0.2880835141391936,NA,NA,0,17.91666667,45.95833333,1.420833333,320.5833333,2014,18.925437259432,14.7678525740071,13.6907419134922,12.3809556494372,10.9934483489637,59.48575425013706,66.090493136756,63.4670154930122,58.4454137681345,59.2912641287853,21.588808490430996,19.1416542892369,22.8422425934955,29.1736305824283,29.7152875222511
AES,0.19548965990543365,0.011013797784450604,10,2014-05-14, A10-C,0.3189267342105812,0.29728286792651315,0.3032035044123591,0.3209967964482159,NA,0,17.91666667,45.95833333,1.420833333,320.5833333,2014,16.7588176913764,11.2803361804534,10.9774528298485,12.670984413046,10.0567536128885,58.85767382278813,65.9210082743388,63.446604217991,64.07049742426,67.7489968388283,24.383508485835478,22.7986555452078,25.5759429521605,23.258518162694,22.1942495482832
AES,0.26259173783991074,0.03227776408004116,3,2014-05-14, A3-C,0.2744077090270455,0.2976057977615063,0.3337020839809808,NA,0.4242505701332717,0,17.91666667,45.95833333,1.420833333,320.5833333,2014,16.468527476474602,14.9466843622718,12.9911532095528,13.0883418412077,15.4234231823065,61.93675629086386,60.620355343708,63.0796890878262,64.9421541739316,65.571796098478,21.594716232661565,24.4329602940202,23.929157702621,21.9695039848607,19.0047807192155
AES,0.15908506512641907,0.010365418958910421,4,2014-05-14, A4-C,NA,0.30934494954082836,0.294984906850107,NA,NA,0,17.91666667,45.95833333,1.420833333,320.5833333,2014,14.672770180137,16.0482902258725,15.4741957687039,16.4302205853931,14.4481347708711,56.37694793751887,60.6319586276053,62.3292290364519,63.9581671416676,64.3986363436715,28.950281882344132,23.3197511465222,22.1965751948442,19.6116122729393,21.1532288854574
AES,0.18293888204627567,0.00726267282188612,9,2014-05-14,NA,NA,NA,NA,NA,NA,0,17.91666667,45.95833333,1.420833333,320.5833333,2014,20.428581946299435,14.485072011482,13.0869343457716,15.5350587031796,12.7087579092021,53.65697047132003,58.5771265499567,61.5772282478342,57.1720849471511,58.0369501916227,25.9144475823805,26.9378014385613,25.3358374063941,27.2928563496693,29.2542918991752
AES,0.19875425928168827,0.008127390950889062,12,2014-05-14, A12-C,0.29387448498814306,0.2773291823846299,0.2835197945038632,NA,NA,0,17.91666667,45.95833333,1.420833333,320.5833333,2014,17.093240431138867,11.6480896423963,10.552703173328,8.87566545464404,10.7080421046978,58.333787266612795,63.9508412663666,66.8250514635646,66.4522753381075,64.3583127250278,24.572972302248303,24.4010690912371,22.6222453631073,24.6720592072484,24.9336451702744
AES,0.17380942073133257,0.006415362215144104,8,2014-05-14,NA,NA,NA,NA,NA,NA,0,17.91666667,45.95833333,1.420833333,320.5833333,2014,18.480445602355132,14.7419566736063,16.2580489940218,16.5691506682161,16.0404202664253,60.47309774216097,64.0546636869484,60.5491527462658,58.8523618066334,60.3764000013723,21.0464566554839,21.2033796394452,23.1927982597124,24.5784875251505,23.5831797322025
AES,0.232672072119183,0.020918647336822617,5,2014-05-14, A5-C,0.29248470937884996,0.3041163410649036,0.27979759897063106,NA,0.28937475099934995,0,17.91666667,45.95833333,1.420833333,320.5833333,2014,16.239896948098203,17.8162778545966,14.8911260428653,19.6957651991623,22.4016514102977,62.309404110917605,56.3756767036222,67.1593474607257,63.2620545073361,63.2815011590335,21.450698940984267,25.8080454417812,17.949526496409,17.0421802935016,14.3168474306688
