date,field,soilM_avg,imputed,precip.cm,tair.C,rh.pct,wind_sp.m_per_s,irradiance.w_per_m.2,average_sand,average_silt,average_clay
2011-10-29,AES,0.21217288015,0.21217288015,0.045,7.654166667,68.08333333,3.179166667,121.7083333,14.891866378687002,60.79695492725847,24.31117869405452
2011-10-30,AES,0.21099331751666667,0.21099331751666667,0.369,9.354166667,78.25,3.5625,72.5,14.891866378687002,60.79695492725847,24.31117869405452
2011-10-31,AES,0.20998349021666668,0.20998349021666668,0.023,6.945833333,68.625,5.1125,122.6666667,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-01,AES,0.20953183365,0.20953183365,0,2.225,66.25,3.220833333,127.5,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-02,AES,0.20792878846666668,0.20792878846666668,0,4.8625,44.95833333,6.091666667,124.0416667,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-03,AES,0.20709032446666667,0.20709032446666667,0.13,5.4,56.41666667,2.85,58.66666667,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-04,AES,0.20562086231666668,0.20562086231666668,0.208,1.541666667,89.70833333,3.541666667,22.33333333,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-05,AES,0.20512468875,0.20512468875,0,1.0125,77.875,2.175,87.20833333,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-06,AES,0.20305770381666666,0.20305770381666666,0,0.929166667,77.16666667,2.1,98.04166667,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-07,AES,0.20233817011666666,0.20233817011666666,0,1.033333333,83.70833333,2.1125,43.70833333,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-08,AES,0.20066478623333334,0.20066478623333334,0,4.095833333,75.79166667,2.4125,98.95833333,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-09,AES,0.20002612885,0.20002612885,0,5.116666667,63.58333333,4.625,99.33333333,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-10,AES,0.19952125953333333,0.19952125953333333,0,6.066666667,51.54166667,3.504166667,95.375,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-11,AES,0.1993081793,0.1993081793,0.61,6.579166667,50.70833333,4.983333333,63.625,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-12,AES,0.19903969571666666,0.19903969571666666,0.676,2.070833333,81.45833333,5.845833333,49.83333333,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-13,AES,0.19850187415,0.19850187415,0.072,5.679166667,73,8.475,71.625,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-14,AES,0.2003234944,0.2003234944,0,4.133333333,63.625,7.275,51.91666667,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-15,AES,0.19968646308333332,0.19968646308333332,0,-1.045833333,68.54166667,2.729166667,74.33333333,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-16,AES,0.19836247645,0.19836247645,0,-0.541666667,70.45833333,6.05,39.08333333,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-17,AES,0.19740147971666666,0.19740147971666666,0.449,3.808333333,77.41666667,5.395833333,57.41666667,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-18,AES,0.19621787198333332,0.19621787198333332,0.256,0.208333333,89.45833333,2.583333333,71.83333333,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-19,AES,0.1956586564,0.1956586564,0.358,-1.595833333,87.54166667,2.191666667,68.41666667,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-20,AES,0.19511541811666666,0.19511541811666666,0.056,-1.095833333,90.45833333,1.85,71.58333333,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-21,AES,0.19461247818333333,0.19461247818333333,0.077,2.666666667,70.29166667,4.733333333,44,14.891866378687002,60.79695492725847,24.31117869405452
2011-11-22,AES,0.20012844868333332,0.20012844868333332,0.528,7.45,70.625,6.1875,15.75,14.891866378687002,60.79695492725847,24.31117869405452
